orig_location,address_clean,latitude,longitude
753 N CLARK ST,"753 N CLARK ST Chicago, IL.",41.89597845,-87.63115195
747 N CLARK ST,"747 N CLARK ST Chicago, IL.",41.89589962,-87.63115016
6 W GRAND AVE,"6 W GRAND AVE Chicago, IL.",41.89172229,-87.62821199
525 E GRAND AVE,"525 E GRAND AVE Chicago, IL.",41.89193892,-87.61143275
1035 N DEARBORN ST,"1035 N DEARBORN ST Chicago, IL.",41.90104043,-87.62982434
1125 N DEARBORN ST,"1125 N DEARBORN ST Chicago, IL.",41.90259659,-87.6298711
1463 N HALSTED ST,"1463 N HALSTED ST Chicago, IL.",41.90767363,-87.6481155
1447 N DEARBORN PKWY,"1447 N DEARBORN PKWY Chicago, IL.",41.90861001,-87.6300514
1162 N CLARK ST,"1162 N CLARK ST Chicago, IL.",41.9032274,-87.6315034
1160 N CLARK ST,"1160 N CLARK ST Chicago, IL.",41.90319317,-87.6315024
732 N ORLEANS ST,"732 N ORLEANS ST Chicago, IL.",41.89509606,-87.63721015
400 S DEARBORN ST,"400 S DEARBORN ST Chicago, IL.",41.87684301,-87.62933973
24 N DEARBORN ST,"24 N DEARBORN ST Chicago, IL.",41.88216173,-87.62948206
834 W HUBBARD ST,"834 W HUBBARD ST Chicago, IL.",41.89012797,-87.64868739
1165 N MILWAUKEE AVE,"1165 N MILWAUKEE AVE Chicago, IL.",41.90301705,-87.66583237
1566 N MILWAUKEE AVE,"1566 N MILWAUKEE AVE Chicago, IL.",41.90988584,-87.67673513
1129 N DEARBORN ST,"1129 N DEARBORN ST Chicago, IL.",41.90270825,-87.62987435
1131 N DEARBORN ST,"1131 N DEARBORN ST Chicago, IL.",41.90276408,-87.62987597
1472 N HALSTED ST,"1472 N HALSTED ST Chicago, IL.",41.90808879,-87.64828001
1039 N WELLS ST,"1039 N WELLS ST Chicago, IL.",41.90148205,-87.63431225
1424 N DEARBORN PKWY,"1424 N DEARBORN PKWY Chicago, IL.",41.90827331,-87.6301944
169 W KINZIE ST,"169 W KINZIE ST Chicago, IL.",41.88911631,-87.63336552
114 W KINZIE ST,"114 W KINZIE ST Chicago, IL.",41.88926428,-87.63131121
130 E CHICAGO AVE,"130 E CHICAGO AVE Chicago, IL.",41.89676844,-87.62527374
122 E CHICAGO AVE,"122 E CHICAGO AVE Chicago, IL.",41.89676844,-87.62531521
15 W CHICAGO AVE,"15 W CHICAGO AVE Chicago, IL.",41.89661125,-87.62885748
322 W CHICAGO AVE,"322 W CHICAGO AVE Chicago, IL.",41.89662089,-87.63654529
726 N STATE ST,"726 N STATE ST Chicago, IL.",41.89515979,-87.62823914
493 W CHICAGO AVE,"493 W CHICAGO AVE Chicago, IL.",41.89643785,-87.64123408
491 W CHICAGO AVE,"491 W CHICAGO AVE Chicago, IL.",41.89643785,-87.64121934
425 W CHICAGO AVE,"425 W CHICAGO AVE Chicago, IL.",41.89676174,-87.61830815
453 W CHICAGO AVE,"453 W CHICAGO AVE Chicago, IL.",41.89645338,-87.64036369
400 N CLARK ST,"400 N CLARK ST Chicago, IL.",41.88927024,-87.63113779
